departure_date,airline_code,flight_number,source_airport,destination_airport,flight_status,departure_scheduled_time,departure_actual_time,arrival_scheduled_time,arrival_actual_time
2018-02-01,LX,353,LHR,GVA,LANDED,1517477760,1517477760,null,1517481900
2018-02-01,AC,6756,LHR,WAW,LANDED,1517508900,1517508420,1517518500,1517516880
2018-02-01,DL,9298,LHR,AMS,LANDED,1517493900,1517493180,1517498400,1517497320
2018-02-01,MK,9415,LHR,CDG,LANDED,1517514600,1517514600,1517518800,1517518680
2018-02-01,CX,1419,LHR,HEL,LANDED,1517513100,1517526480,1517523300,1517536080
2018-02-01,EI,8989,LHR,PHX,LANDED,1517495700,1517496240,1517535000,1517537280
2018-02-01,IB,4223,LHR,JFK,LANDED,1517505300,1517504400,1517534700,1517534460
2018-02-01,BA,295,LHR,ORD,LANDED,1517486700,1517486580,1517518500,1517518680
2018-02-01,EI,385,LHR,SNN,LANDED,null,1517497800,1517502960,1517501940
2018-02-01,9W,5069,LHR,YYZ,LANDED,1517475600,1517475420,1517503500,1517504520
2018-02-01,AV,6524,LHR,MUC,LANDED,1517503800,1517503800,1517510100,1517510160
2018-02-01,G3,5113,LHR,CDG,LANDED,1517467200,1517467200,1517472000,1517471280
2018-02-01,UA,9622,LHR,DUS,LANDED,1517499600,1517500800,1517504700,1517504280
2018-02-01,AA,6146,LHR,JFK,LANDED,1517514600,1517514480,1517542800,1517543880
2018-02-01,AA,6271,LHR,GVA,LANDED,1517502000,1517502000,1517508300,1517507700
2018-02-01,BA,253,LHR,NAS,LANDED,1517479500,1517479500,1517514600,1517513580
2018-02-01,NZ,3305,LHR,SIN,LANDED,1517476200,1517475840,1517522700,1517521200
2018-02-01,LH,901,LHR,FRA,LANDED,1517477400,1517477940,1517483100,1517483640
2018-02-01,JL,7857,LHR,TXL,LANDED,1517489100,1517488740,1517496000,1517494860
2018-02-01,BA,8079,LHR,BCN,LANDED,1517503500,1517504280,1517511300,1517510640
2018-02-01,QF,3509,LHR,TLS,LANDED,1517470800,1517470740,1517477400,1517477220
2018-02-01,AY,5914,LHR,OSL,LANDED,1517488800,1517488800,1517496900,1517497140
